nome,telefone,endereco,bairro,avaliacao,cnpj,site,data_captacao
Brutos Barbearia,(62) 99415-2445,"Av. Independencia, qd.04 - lt.08 Sala 01 - Jardim Monte Cristo",Jardim Monte Sinai,5.0,,,2026-05-26 15:00
D.S. Barbearia,,"Av. das Nacoes, qd-25 - lt 22",Jardim Monte Sinai,4.9,,,2026-05-26 15:00
MR Barbearia,,"Av. Amazonas, Qd 12 - Lt 01 casa 2",Jardim Monte Sinai,4.9,,,2026-05-26 15:00
BARBEARIA AF,,"Av. W-5, Quadra 25 - lote 09",Jardim Monte Sinai,5.0,,,2026-05-26 15:00
Wesley Borges Barbearia,,R. Nordeste,Jardim Monte Sinai,4.9,,,2026-05-26 15:00
Tarzan Barbearia & Piercing Studio,,,Jardim Monte Sinai,,,,2026-05-26 15:00
Barbearia Capelli,,,Jardim Monte Sinai,,,,2026-05-26 15:00
Barbearia Esto Vir,,,Jardim Monte Sinai,,,,2026-05-26 15:00
